Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792	140	-144	45	9792
141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808	141	-16	16	9808
142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841	142	-33	33	9841
143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864	143	-23	23	9864
144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887	144	-23	23	9887
145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914	145	-27	27	9914
146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934	146	-20	20	9934
147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963	147	-29	29	9963
148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988	148	-25	25	9988
149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013	149	-25	25	10013
150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057	150	-44	44	10057
151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110	151	-152	53	10110
152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134	152	-24	24	10134
153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151	153	-17	17	10151
154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170	154	-19	19	10170
155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211	155	-140	41	10211
156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232	156	-21	21	10232
157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267	157	-35	35	10267
158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334	158	-265	67	10334
159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359	159	-25	25	10359
160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374	160	-15	15	10374
161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394	161	-20	20	10394
162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413	162	-19	19	10413
163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452	163	-39	39	10452
164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470	164	-18	18	10470
165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490	165	-20	20	10490
166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520	166	-30	30	10520
167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539	167	-19	19	10539
168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559	168	-20	20	10559
169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585	169	-26	26	10585
170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604	170	-19	19	10604
171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640	171	-36	36	10640
172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673	172	-132	33	10673
173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696	173	-23	23	10696
174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723	174	-27	27	10723
175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749	175	-26	26	10749
176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789	176	-238	40	10789
177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805	177	-16	16	10805
178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823	178	-18	18	10823
179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844	179	-21	21	10844
180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892	180	-147	48	10892
181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915	181	-23	23	10915
182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941	182	-26	26	10941
183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956	183	-15	15	10956
184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976	184	-20	20	10976
185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004	185	-28	28	11004
186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055	186	-249	51	11055
187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105	187	-248	50	11105
188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126	188	-21	21	11126
189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151	189	-25	25	11151
190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188	190	-37	37	11188
191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206	191	-18	18	11206
192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221	192	-15	15	11221
193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251	193	-129	30	11251
194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274	194	-122	23	11274
195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294	195	-20	20	11294
196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317	196	-23	23	11317
197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334	197	-17	17	11334
198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348	198	-14	14	11348
199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376	199	-28	28	11376
