Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725	107	-119	20	1725
108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740	108	-15	15	1740
109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764	109	-123	24	1764
110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777	110	-13	13	1777
111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797	111	-20	20	1797
112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814	112	-17	17	1814
113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832	113	-117	18	1832
114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847	114	-15	15	1847
115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860	115	-13	13	1860
116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873	116	-13	13	1873
117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886	117	-13	13	1886
118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899	118	-13	13	1899
119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912	119	-13	13	1912
120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925	120	-13	13	1925
121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938	121	-13	13	1938
122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951	122	-13	13	1951
123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964	123	-13	13	1964
124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979	124	-15	15	1979
125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992	125	-13	13	1992
126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005	126	-13	13	2005
127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022	127	-17	17	2022
128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037	128	-15	15	2037
129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050	129	-13	13	2050
130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065	130	-15	15	2065
131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083	131	-117	18	2083
132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107	132	-123	24	2107
133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122	133	-15	15	2122
134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139	134	-17	17	2139
135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160	135	-21	21	2160
136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179	136	-19	19	2179
137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196	137	-17	17	2196
138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213	138	-17	17	2213
139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228	139	-15	15	2228
140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254	140	-224	26	2254
141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267	141	-13	13	2267
142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284	142	-17	17	2284
143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297	143	-13	13	2297
144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315	144	-18	18	2315
145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328	145	-13	13	2328
146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348	146	-20	20	2348
147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363	147	-15	15	2363
148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376	148	-13	13	2376
149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398	149	-121	22	2398
150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411	150	-13	13	2411
151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424	151	-13	13	2424
152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437	152	-13	13	2437
153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459	153	-121	22	2459
154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474	154	-15	15	2474
155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487	155	-13	13	2487
156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502	156	-15	15	2502
157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515	157	-13	13	2515
