Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518	105	-41	41	8518
106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555	106	-37	37	8555
107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580	107	-25	25	8580
108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606	108	-26	26	8606
109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647	109	-41	41	8647
110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688	110	-140	41	8688
111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708	111	-20	20	8708
112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744	112	-36	36	8744
113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781	113	-37	37	8781
114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813	114	-32	32	8813
115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842	115	-29	29	8842
116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867	116	-25	25	8867
117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893	117	-26	26	8893
118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928	118	-35	35	8928
119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964	119	-36	36	8964
120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985	120	-21	21	8985
121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021	121	-36	36	9021
122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041	122	-20	20	9041
123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105	123	-262	64	9105
124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144	124	-138	39	9144
125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172	125	-28	28	9172
126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210	126	-137	38	9210
127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252	127	-141	42	9252
128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273	128	-21	21	9273
129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315	129	-42	42	9315
130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356	130	-41	41	9356
131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381	131	-124	25	9381
132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424	132	-43	43	9424
133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453	133	-29	29	9453
134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475	134	-22	22	9475
135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509	135	-34	34	9509
136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553	136	-44	44	9553
137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567	137	-14	14	9567
138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619	138	-151	52	9619
139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637	139	-18	18	9637
140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654	140	-17	17	9654
141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700	141	-145	46	9700
142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748	142	-147	48	9748
143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772	143	-24	24	9772
144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796	144	-24	24	9796
145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823	145	-126	27	9823
146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866	146	-142	43	9866
147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893	147	-126	27	9893
148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924	148	-31	31	9924
149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952	149	-28	28	9952
150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986	150	-34	34	9986
151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002	151	-16	16	10002
152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030	152	-127	28	10030
153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064	153	-34	34	10064
154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083	154	-19	19	10083
155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103	155	-20	20	10103
156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129	156	-26	26	10129
157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161	157	-32	32	10161
158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200	158	-138	39	10200
