Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239	120	-20	20	9239
121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266	121	-27	27	9266
122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294	122	-28	28	9294
123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323	123	-29	29	9323
124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360	124	-37	37	9360
125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403	125	-43	43	9403
126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420	126	-17	17	9420
127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452	127	-32	32	9452
128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475	128	-122	23	9475
129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498	129	-23	23	9498
130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522	130	-24	24	9522
131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558	131	-36	36	9558
132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590	132	-32	32	9590
133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617	133	-27	27	9617
134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644	134	-27	27	9644
135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681	135	-136	37	9681
136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723	136	-141	42	9723
137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742	137	-118	19	9742
138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777	138	-35	35	9777
139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794	139	-17	17	9794
140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854	140	-159	60	9854
141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870	141	-16	16	9870
142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913	142	-43	43	9913
143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931	143	-18	18	9931
144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968	144	-136	37	9968
145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004	145	-135	36	10004
146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039	146	-35	35	10039
147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054	147	-15	15	10054
148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079	148	-124	25	10079
149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098	149	-19	19	10098
150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117	150	-19	19	10117
151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139	151	-22	22	10139
152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186	152	-146	47	10186
153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209	153	-122	23	10209
154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238	154	-128	29	10238
155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261	155	-23	23	10261
156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293	156	-32	32	10293
157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309	157	-16	16	10309
158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341	158	-32	32	10341
159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395	159	-153	54	10395
160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418	160	-122	23	10418
161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439	161	-21	21	10439
162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467	162	-28	28	10467
163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493	163	-26	26	10493
164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529	164	-135	36	10529
165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577	165	-147	48	10577
166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594	166	-17	17	10594
167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612	167	-18	18	10612
168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628	168	-16	16	10628
169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660	169	-32	32	10660
170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675	170	-15	15	10675
171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696	171	-21	21	10696
172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715	172	-19	19	10715
173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742	173	-27	27	10742
174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755	174	-13	13	10755
175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786	175	-31	31	10786
176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804	176	-18	18	10804
177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821	177	-17	17	10821
178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840	178	-19	19	10840
179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857	179	-17	17	10857
180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877	180	-20	20	10877
