Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306	140	-115	16	2306
141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368	141	-755	62	2368
142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381	142	-13	13	2381
143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397	143	-16	16	2397
144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410	144	-13	13	2410
145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425	145	-15	15	2425
146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440	146	-15	15	2440
147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455	147	-15	15	2455
148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472	148	-17	17	2472
149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495	149	-122	23	2495
150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510	150	-15	15	2510
151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523	151	-13	13	2523
152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536	152	-13	13	2536
153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549	153	-13	13	2549
154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563	154	-113	14	2563
155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588	155	-124	25	2588
156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618	156	-129	30	2618
157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632	157	-113	14	2632
158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656	158	-123	24	2656
159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669	159	-13	13	2669
160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682	160	-13	13	2682
161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699	161	-17	17	2699
162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715	162	-16	16	2715
163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732	163	-17	17	2732
164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748	164	-115	16	2748
165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763	165	-15	15	2763
166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777	166	-113	14	2777
167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790	167	-13	13	2790
168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812	168	-121	22	2812
169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843	169	-130	31	2843
170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856	170	-13	13	2856
171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870	171	-14	14	2870
172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883	172	-13	13	2883
173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899	173	-115	16	2899
174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914	174	-15	15	2914
175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935	175	-120	21	2935
176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948	176	-13	13	2948
177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963	177	-15	15	2963
178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980	178	-17	17	2980
179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995	179	-15	15	2995
180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010	180	-15	15	3010
181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032	181	-121	22	3032
182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045	182	-13	13	3045
183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060	183	-15	15	3060
184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073	184	-13	13	3073
185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088	185	-15	15	3088
186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122	186	-133	34	3122
187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139	187	-17	17	3139
188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156	188	-17	17	3156
189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173	189	-17	17	3173
190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195	190	-121	22	3195
191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208	191	-13	13	3208
192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221	192	-13	13	3221
193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236	193	-15	15	3236
194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251	194	-15	15	3251
195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266	195	-15	15	3266
196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281	196	-15	15	3281
197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300	197	-19	19	3300
198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315	198	-15	15	3315
199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330	199	-15	15	3330
